epoch,accuracy,loss,val_accuracy,val_loss
0,0.6899448037147522,0.6197329163551331,0.0910179615020752,1.154308557510376
1,0.7878569960594177,0.4986487030982971,0.0946107804775238,1.5798856019973755
2,0.8540916442871094,0.40956518054008484,0.08982036262750626,1.8057268857955933
3,0.8560115098953247,0.3845956325531006,0.10059880465269089,1.8055280447006226
4,0.8761699199676514,0.33269932866096497,0.17485029995441437,1.7278425693511963
5,0.9145668148994446,0.2541031241416931,0.10898203402757645,2.545947551727295
6,0.9323254227638245,0.20493395626544952,0.15089820325374603,2.4571051597595215
7,0.9421645998954773,0.17487095296382904,0.13892215490341187,2.8470075130462646
8,0.9572834372520447,0.14049282670021057,0.1988023966550827,2.6313962936401367
9,0.964482843875885,0.1193329319357872,0.16167664527893066,3.0655925273895264
