epoch,accuracy,loss,val_accuracy,val_loss
0,0.5574561357498169,0.6794945001602173,0.5317744016647339,0.7380725145339966
1,0.6893274784088135,0.5749138593673706,0.5854195356369019,0.9082789421081543
2,0.768830418586731,0.4694220721721649,0.6305364370346069,0.8138931393623352
3,0.8079239726066589,0.4040850102901459,0.6346629858016968,0.9023413062095642
4,0.8381286263465881,0.35595977306365967,0.6561210751533508,1.0444667339324951
5,0.859473705291748,0.3176345229148865,0.6651994585990906,1.0220086574554443
6,0.8767251372337341,0.28693297505378723,0.6676753759384155,1.1618870496749878
7,0.8868128657341003,0.26234176754951477,0.6635488271713257,1.2664815187454224
8,0.8999707698822021,0.2388555407524109,0.6704264283180237,1.2040947675704956
9,0.9095321893692017,0.21627558767795563,0.665474534034729,1.4535208940505981
