epoch,accuracy,loss,val_accuracy,val_loss
0,0.5161426067352295,0.6941823363304138,0.0910179615020752,0.7137380242347717
1,0.5603593587875366,0.6883220672607422,0.37365269660949707,0.6986181139945984
2,0.6695676445960999,0.6390491724014282,0.3976047933101654,0.937093198299408
3,0.7825659513473511,0.5059788227081299,0.3820359408855438,1.0988755226135254
4,0.8701572418212891,0.3463813066482544,0.31736525893211365,1.3652158975601196
5,0.9126895070075989,0.24508380889892578,0.3772455155849457,1.2516199350357056
6,0.9317799210548401,0.1919279843568802,0.2311377227306366,2.0739011764526367
7,0.9497473239898682,0.14978669583797455,0.3365269601345062,1.8600454330444336
8,0.9618192315101624,0.12017005681991577,0.3449101746082306,2.1850290298461914
9,0.9651880860328674,0.10303256660699844,0.2898203730583191,2.7328262329101562
